1	0000053c	28	[]
1	00000558	20	[]
1	00000410	36	[FUN(0000053c), CALL(00000554)]
8	00000518	12	[FUN(0000053c), CALL(00000554)]
0	00000524	4	[FUN(0000053c), CALL(00000554)]
1	0000052c	16	[FUN(0000053c), CALL(00000554)]
8	00000434	20	[FUN(0000053c), CALL(00000554)]
64	000004f0	16	[FUN(0000053c), CALL(00000554)]
8	00000500	12	[FUN(0000053c), CALL(00000554)]
7	0000050c	12	[FUN(0000053c), CALL(00000554)]
1	00000528	4	[FUN(0000053c), CALL(00000554)]
56	00000448	52	[FUN(0000053c), CALL(00000554)]
56	0000047c	104	[FUN(0000053c), CALL(00000554)]
56	000004e4	12	[FUN(0000053c), CALL(00000554)]
