0,0
0.0024,4
0.0048,4
0.0072,16
0.0096,22
0.012,28
0.0144,44
0.0168,62
0.0192,82
0.0216,104
0.024,116
0.0264,140
0.0288,165
0.0312,192
0.0336,206
0.036,235
0.0384,265
0.0408,296
0.0432,329
0.0456,362
0.048,362
0.0504,397
0.0528,415
0.0552,450
0.0576,488
0.06,507
0.0624,545
0.0648,584
0.0672,604
0.0696,623
0.072,623
0.0744,643
0.0768,643
0.0792,643
0.0816,643
0.084,643
0.0864,643
0.0888,643
0.0912,643
0.0936,643
0.096,643
0.0984,643
0.1008,643
0.1032,643
0.1056,643
0.108,643
0.1104,643
0.1128,643
0.1152,643
0.1176,643
0.12,643
0.1224,643
0.1248,643
0.1272,643
0.1296,643
0.132,643
0.1344,643
0.1368,643
0.1392,643
0.1416,643
0.144,643
0.1464,643
0.1488,643
0.1512,643
0.1536,643
0.156,643
0.1584,643
0.1608,643
0.1632,643
0.1656,643
0.168,643
0.1704,643
0.1728,643
0.1752,643
0.1776,643
0.18,643
0.1824,643
0.1848,643
0.1872,643
0.1896,643
0.192,643
0.1944,643
0.1968,643
0.1992,643
0.2016,643
0.204,643
0.2064,643
0.2088,643
0.2112,643
0.2136,643
0.216,643
0.2184,643
0.2208,643
0.2232,643
0.2256,643
0.228,643
0.2304,643
0.2328,643
0.2352,643
0.2376,643
0.24,643
0.2424,643
0.2448,643
0.2472,643
0.2496,643
0.252,643
0.2544,643
0.2568,643
0.2592,643
0.2616,643
0.264,643
0.2664,643
0.2688,643
0.2712,643
0.2736,643
0.276,643
0.2784,643
0.2808,643
0.2832,643
0.2856,643
0.288,643
0.2904,643
0.2928,643
0.2952,643
0.2976,643
0.3,643
0.3024,643
0.3048,643
0.3072,643
0.3096,643
0.312,643
0.3144,643
0.3168,643
0.3192,643
0.3216,643
0.324,643
0.3264,643
0.3288,643
0.3312,643
0.3336,643
0.336,643
0.3384,643
0.3408,643
0.3432,643
0.3456,643
0.348,643
0.3504,643
0.3528,643
